batter,game_year,name_last,name_first,season,plate_appearance,speciality_score
110029.0,2014.0,abreu,bobby,2014.0,647,241.20504422330893
112526.0,2014.0,colon,bartolo,2014.0,216,127.06175680859224
112526.0,2016.0,colon,bartolo,2016.0,232,64.52380952380952
114739.0,2014.0,giambi,jason,2014.0,262,180.4375212802179
116338.0,2014.0,hunter,torii,2014.0,2032,481.78826478937907
116338.0,2015.0,hunter,torii,2015.0,1134,279.2507498619591
116380.0,2014.0,ibanez,raul,2014.0,1102,250.53397275506708
116539.0,2014.0,jeter,derek,2014.0,2214,342.4674751088385
117244.0,2014.0,konerko,paul,2014.0,845,250.37295524885968
120074.0,2014.0,ortiz,david,2014.0,2384,284.3608557319375
120074.0,2015.0,ortiz,david,2015.0,1433,345.7497432247926
120074.0,2016.0,ortiz,david,2016.0,2472,326.3660220580609
121347.0,2015.0,rodriguez,alex,2015.0,1465,220.70898570703508
121347.0,2016.0,rodriguez,alex,2016.0,915,257.8293449333038
133380.0,2014.0,ramirez,aramis,2014.0,1786,320.19341613733616
133380.0,2015.0,ramirez,aramis,2015.0,1072,311.34140228562086
134181.0,2014.0,beltre,adrian,2014.0,2304,347.1046532077731
134181.0,2015.0,beltre,adrian,2015.0,1543,320.798842613117
134181.0,2016.0,beltre,adrian,2016.0,2442,320.15104055051376
134181.0,2017.0,beltre,adrian,2017.0,1574,253.1177818947115
134181.0,2018.0,beltre,adrian,2018.0,1857,256.6349560086921
136767.0,2014.0,chavez,eric,2014.0,344,201.13791763791764
136860.0,2014.0,beltran,carlos,2014.0,1682,393.08353111065134
136860.0,2015.0,beltran,carlos,2015.0,1243,299.0928344017214
136860.0,2016.0,beltran,carlos,2016.0,2186,329.6867248088349
136860.0,2017.0,beltran,carlos,2017.0,2014,270.7783313046235
150029.0,2014.0,werth,jayson,2014.0,2741,261.5636810252354
150029.0,2015.0,werth,jayson,2015.0,1072,233.75202182690703
150029.0,2016.0,werth,jayson,2016.0,2785,259.13388013693975
150029.0,2017.0,werth,jayson,2017.0,1405,225.1194876754275
150040.0,2014.0,molina,jose,2014.0,905,250.50444733006532
150093.0,2014.0,soriano,alfonso,2014.0,892,289.54908615675606
150212.0,2014.0,cuddyer,michael,2014.0,727,271.76573912125343
150212.0,2015.0,cuddyer,michael,2015.0,626,335.00188217579523
150229.0,2014.0,pierzynski,a. j.,2014.0,1243,530.2864073872282
150229.0,2015.0,pierzynski,a. j.,2015.0,889,376.45905120130146
150229.0,2016.0,pierzynski,a. j.,2016.0,822,425.9948655364332
150289.0,2014.0,pena,carlos,2014.0,212,341.8397435897436
150348.0,2014.0,mcdonald,john,2014.0,361,253.27182077182076
150359.0,2014.0,burnett,a. j.,2014.0,260,163.19590892548223
217100.0,2014.0,bloomquist,willie,2014.0,497,298.41139575571077
218596.0,2014.0,hudson,tim,2014.0,263,212.72210052330536
276055.0,2014.0,dunn,adam,2014.0,2171,207.71478248744262
276519.0,2014.0,rollins,jimmy,2014.0,2505,267.9829026611727
276519.0,2015.0,rollins,jimmy,2015.0,1163,281.705908510694
