,last,first,playerID
182,Maile,Luke,mailelu01
183,Maldonado,Martin,maldoma01
184,Mancini,Trey,mancitr01
185,Margot,Manuel,margoma01
186,Marisnick,Jake,marisja01
187,Markakis,Nick,markani01
188,Marte,Ketel,marteke01
189,Marte,Starling,martest01
190,Martinez,Jose,martijo04
191,Martinez,Jose,martijo06
192,Martinez,Jose,martijo08
193,Martin,Leonys,martile01
194,Martin,Russell,martiru01
195,Mathis,Jeff,mathije01
196,Maybin,Cameron,maybica01
197,Mazara,Nomar,mazarno01
198,McCann,Brian,mccanbr01
199,McCann,James,mccanja02
200,McCarthy,Joe,mccarjo02
201,McCarthy,Joe,mccarjo99
202,McCutchen,Andrew,mccutan01
203,Mercer,Jordy,mercejo03
204,Merrifield,Whit,merriwh01
205,Mesoraco,Devin,mesorde01
206,Miller,Brad,millebr02
207,Molina,Yadier,molinya01
208,Moncada,Yoan,moncayo01
209,Morales,Kendrys,moralke01
210,Moran,Colin,moranco01
211,Moreland,Mitch,morelmi01
212,Moroff,Max,morofma01
213,Morrison,Logan,morrilo01
214,Moustakas,Mike,moustmi01
215,Muncy,Max,muncyma01
216,Murphy,Daniel,murphda08
217,Murphy,Tom,murphto02
218,Murphy,Tom,murphto04
219,Myers,Wil,myerswi01
220,Naquin,Tyler,naquity01
221,Narvaez,Omar,narvaom01
222,Nimmo,Brandon,nimmobr01
223,Nunez,Eduardo,nunezed02
224,Nunez,Renato,nunezre01
225,O'Brien,Peter,obriepe04
226,Odor,Rougned,odorro01
227,Olson,Matt,olsonma02
228,Owings,Chris,owingch01
229,Ozuna,Marcell,ozunama01
230,Panik,Joe,panikjo01
231,Parra,Gerardo,parrage01
232,Pearce,Steve,pearcst01
233,Pederson,Joc,pederjo01
234,Pedroia,Dustin,pedrodu01
235,Peralta,David,peralda01
236,Peraza,Jose,perazjo01
237,Perez,Hernan,perezhe01
238,Perez,Roberto,perezro02
239,Peterson,Jace,peterja01
240,Pham,Tommy,phamth01
241,Phegley,Josh,phegljo01
242,Phillips,Brandon,phillbr01
243,Pillar,Kevin,pillake01
244,Pina,Manny,pinama01
245,Pinder,Chad,pindech01
246,Pirela,Jose,pireljo01
247,Piscotty,Stephen,piscost01
248,Plawecki,Kevin,plaweke01
249,Polanco,Gregory,polangr01
250,Polanco,Jorge,polanjo01
251,Posey,Buster,poseybu01
252,Prado,Martin,pradoma01
253,Profar,Jurickson,profaju01
254,Puig,Yasiel,puigya01
255,Pujols,Albert,pujolal01
256,Quinn,Roman,quinnro01
257,Ramirez,Hanley,ramirha01
258,Ramirez,Jose,ramirjo01
259,Ramirez,Jose,ramirjo02
260,Ramos,Wilson,ramoswi01
261,Reddick,Josh,reddijo01
262,Reed,Michael,reedmi02
263,Rendon,Anthony,rendoan01
264,Renfroe,Hunter,renfrhu01
265,Reyes,Jose,reyesjo01
266,Reyes,Jose,reyesjo02
267,Rickard,Joey,rickajo01
268,Rivera,Rene,riverre01
269,Rizzo,Anthony,rizzoan01
270,Rojas,Miguel,rojasmi02
271,Romine,Andrew,rominan01
272,Romine,Austin,rominau01
273,Rondon,Jose,rondojo02
274,Rosario,Eddie,rosared01
275,Ruiz,Rio,ruizri01
276,Russell,Addison,russead02
277,Saladino,Tyler,saladty01
278,Sanchez,Gary,sanchga02
279,Sandoval,Pablo,sandopa01
280,Sano,Miguel,sanomi01
281,Santana,Carlos,santaca01
282,Santana,Domingo,santado01
283,Schebler,Scott,schebsc01
284,Schoop,Jonathan,schoojo01
285,Schwarber,Kyle,schwaky01
286,Seager,Corey,seageco01
287,Seager,Kyle,seageky01
288,Segura,Jean,segurje01
289,Semien,Marcus,semiema01
290,Shaw,Travis,shawtr01
291,Simmons,Andrelton,simmoan01
292,Smith,Kevan,smithke04
293,Smith,Mallex,smithma05
294,Smoak,Justin,smoakju01
295,Solano,Jhonatan,solanjh01
296,Solarte,Yangervis,solarya01
297,Soler,Jorge,solerjo01
298,Span,Denard,spande01
299,Spangenberg,Cory,spangco01
300,Springer,George,springe01
301,Stallings,Jacob,stallja01
302,Stanton,Giancarlo,stantmi03
